1	260	100.00
1	1927	97.74
1	804	80.48
1	3	82.58
1	1009	78.95
1	2406	88.67
1	1587	83.63
1	3671	96.12
1	2617	85.03
1	3053	97.37
1	2571	100.00
1	1222	100.00
1	2137	89.38
1	1377	79.47
1	2395	85.69
1	2761	100.00
1	2641	84.30
1	2872	91.60
1	1258	100.00
1	2700	95.70
2	333	79.30
2	122882	76.40
2	71535	83.54
2	46970	76.39
2	58559	85.14
2	80489	83.71
3	5764	42.26
3	647	41.28
3	6835	42.26
3	5919	43.97
3	2851	30.37
3	2288	49.62
3	5048	20.93
3	4518	45.76
4	106	70.71
4	1291	79.56
4	3408	67.11
4	265	72.09
4	52	68.51
4	4347	80.97
4	2467	74.64
4	908	85.22
4	345	71.01
4	1304	83.61
4	1923	75.10
4	2959	87.68
4	368	71.33
4	1219	86.37
4	4765	81.45
4	1199	88.82
4	4166	42.67
4	1732	82.58
4	21	78.23
4	2858	84.42
5	515	77.05
5	1	84.86
5	364	83.94
5	608	84.70
5	290	77.38
5	261	79.65
5	34	82.75
5	318	94.38
5	21	69.64
6	349	67.54
6	318	91.98
6	775	69.80
6	141	71.43
6	348	67.51
6	104	68.10
6	327	61.52
6	410	60.02
6	165	69.92
6	87	64.75
6	366	68.17
6	17	75.14
6	1084	76.83
6	222	69.45
6	16	80.99
6	416	48.47
6	277	68.34
6	460	63.70
6	867	26.19
6	316	66.44
7	8528	72.55
7	3623	55.47
7	8636	67.67
7	8360	66.92
7	1517	61.97
7	466	57.32
7	8373	46.02
7	1220	75.30
7	7155	46.78
7	8808	48.57
7	6863	68.03
7	31878	69.39
7	1610	72.06
7	1219	78.59
7	4700	60.43
7	45668	57.58
7	8970	72.82
7	27741	72.75
7	6333	70.98
7	8865	52.40
8	356	86.30
8	47	72.66
8	231	55.40
8	318	94.32
8	454	77.55
8	292	71.73
8	32	81.36
8	141	74.78
8	380	70.16
8	252	70.70
9	5451	57.33
9	923	73.42
9	5890	79.52
9	2901	57.32
9	922	77.08
9	6044	65.00
9	1987	65.00
9	5378	56.11
9	3735	73.68
9	5447	57.10
10	597	73.09
10	33679	66.78
10	8533	67.56
10	8969	60.73
10	72720	68.53
10	88810	75.46
10	136020	58.40
10	6377	77.43
10	5943	50.77
10	109374	73.62
10	113394	65.58
10	61250	48.35
10	82167	51.83
10	140110	65.49
10	5377	67.78
10	77841	65.58
10	6942	76.50
10	1028	79.53
10	72330	65.58
10	66203	52.10
11	733	77.93
11	1584	79.92
11	1210	85.43
11	170	70.03
11	1438	63.18
11	648	75.94
11	1918	64.94
11	493	77.83
11	10	74.19
11	457	86.66
11	1693	72.95
11	150	81.42
11	1923	82.02
12	2717	70.45
12	2100	77.71
12	838	91.21
12	2072	77.90
12	1876	76.13
12	2581	82.65
12	6942	100.00
13	3717	72.00
13	3624	69.95
13	3798	71.34
13	2174	73.67
13	47	87.58
13	3893	74.21
13	305	54.59
14	344	54.66
14	477	68.16
14	110	88.87
14	540	56.45
14	597	66.05
14	153	61.24
14	592	61.62
14	4	46.64
14	539	72.45
14	105	65.86
15	91529	78.28
15	7438	65.58
15	111759	73.99
15	2329	78.98
15	1	75.22
15	1909	65.83
15	1240	70.83
15	115713	78.59
15	1200	74.96
15	293	81.52
15	2571	82.08
15	3949	72.73
15	120466	67.18
15	1198	77.78
15	2028	80.28
15	2011	78.19
15	158	50.93
15	160980	72.58
15	4306	72.33
15	4022	70.01
16	1230	81.41
16	78499	79.91
16	913	83.18
16	1136	80.10
16	1299	84.01
16	1617	80.75
16	1203	82.06
16	3429	87.40
16	2858	79.24
16	608	85.16
16	3683	86.17
16	4002	80.79
16	1199	83.32
16	912	79.90
16	2707	66.99
16	5782	77.62
16	1260	73.46
16	319	73.25
16	27773	82.77
16	2109	76.38
17	260	92.74
17	64839	91.55
17	296	98.74
17	5952	93.37
17	527	92.16
17	1193	92.14
17	3681	93.31
17	1240	83.02
17	2717	77.44
17	2858	89.92
17	1093	81.15
17	81932	89.60
17	5618	97.56
17	50	97.60
17	5971	91.97
17	2959	98.28
17	1201	95.13
17	541	89.22
17	82459	89.20
17	1	91.68
18	8117	74.59
18	65596	74.59
18	88094	74.59
18	145283	74.59
18	157110	74.59
18	166015	74.59
18	171023	74.59
18	103253	65.58
18	60684	83.20
18	44199	77.88
18	2	69.19
18	86628	72.38
18	59784	74.49
18	2918	78.21
18	109374	83.58
18	4226	89.62
18	53129	92.93
18	139385	82.85
18	47	88.64
18	1291	90.41
19	3692	52.15
19	3662	43.16
19	54	26.76
19	2733	36.67
19	1702	39.05
19	1240	63.97
19	1270	59.38
19	3712	44.25
19	1881	47.97
19	216	49.80
19	3	45.95
19	1834	59.50
19	2184	46.14
19	3017	51.49
19	2044	24.25
19	2354	38.29
19	2005	60.92
19	3146	35.12
19	3387	43.40
19	2694	48.76
20	1566	72.33
20	5419	65.51
20	4014	78.90
20	2140	76.13
20	586	61.84
20	661	74.85
20	3189	76.22
20	5014	77.28
20	1333	74.93
20	4161	68.45
20	3784	64.97
20	1030	61.75
20	5313	55.41
20	2804	81.11
20	2054	58.94
20	34	74.40
20	1097	81.62
20	6358	72.16
20	4519	67.12
20	1722	64.14
21	107013	65.15
21	117922	65.15
21	140301	65.15
21	57640	72.17
21	2985	68.86
21	2990	68.05
21	2717	59.11
21	5418	74.17
21	31433	55.10
21	112175	71.63
21	7153	79.90
21	30793	55.47
21	4446	62.44
21	52973	67.01
21	45186	67.19
21	2023	66.34
21	79185	62.92
21	1721	60.27
21	102125	69.10
